Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,Course Name,Description,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2021 - 2022,2022 Spring,GRAD,GRAD,Abhishek,Santra,Enamul Karim,CSE,5331,1,DBMS MODELS AND IMPLEMENTATION TECHNIQUES,"DBMS system implementation techniques, including query optimization, transaction processing, concurrency control, buffer management and recovery. Object-oriented, object-relational and XML databases. Introduction to advanced database models, such as active, distributed, temporal, spatial and data warehousing.",16,20,1,0,0,0,0,0,0,0,0,37
2021 - 2022,2022 Spring,GRAD,GRAD,Abhishek,Santra,"Mengxiao Wang, Tulasi Nakka",CSE,5330,3,DATABASE SYSTEMS,"Database system architecture;  management and analysis of files, indexing, hashing, and B+-trees; the relational model and algebra; the SQL database language; database programming techniques, database design using Entry-Relationship, extended E-R, and UML modeling; basics of normalization. Introduction to database security, query processing and transaction management.",32,38,3,0,1,0,0,0,0,0,0,74
2021 - 2022,2022 Spring,GRAD,GRAD,Alex,Dillhoff,Yanjun Lyu,CSE,6363,6,MACHINE LEARNING,"A detailed investigation of current machine learning methods, including statistical, connectionist, and symbolic learning. Presents theoretical results for comparing methods and determining what is learnable. Current issues in machine learning research will also be examined. Prerequisite:CSE 5301or consent of instructor.",21,9,1,0,0,0,0,0,0,0,0,31
2021 - 2022,2022 Spring,GRAD,GRAD,Alex,Dillhoff,Yanjun Lyu,CSE,6363,102,MACHINE LEARNING,"A detailed investigation of current machine learning methods, including statistical, connectionist, and symbolic learning. Presents theoretical results for comparing methods and determining what is learnable. Current issues in machine learning research will also be examined. Prerequisite:CSE 5301or consent of instructor.",12,0,0,0,0,0,0,0,0,0,0,12
2021 - 2022,2022 Spring,GRAD,GRAD,Allison,Sullivan,Ana Jovanovic,CSE,5320,2,SPECIAL TOPICS IN SOFTWARE ENGINEERING,May be repeated for credit when topics vary.,15,4,1,1,4,0,0,0,0,0,0,25
2021 - 2022,2022 Spring,GRAD,GRAD,Allison,Sullivan,Ana Jovanovic,CSE,6392,3,SPECIAL TOPICS IN ADVANCED COMPUTER SCIENCE,May be repeated for credit when the topics vary.,8,2,0,0,0,0,0,0,0,0,0,10
2021 - 2022,2022 Spring,GRAD,GRAD,Bahra,Khalili Najafabadi,,CSE,5330,201,DATABASE SYSTEMS,"Database system architecture;  management and analysis of files, indexing, hashing, and B+-trees; the relational model and algebra; the SQL database language; database programming techniques, database design using Entry-Relationship, extended E-R, and UML modeling; basics of normalization. Introduction to database security, query processing and transaction management.",0,0,0,0,0,0,52,0,0,0,0,52
2021 - 2022,2022 Spring,GRAD,GRAD,Bahra,Khalili Najafabadi,"Adly Noore, Rodrigo Augusto Silva Dos Santos",CSE,5325,2,"SOFTWARE ENGINEERING: MANAGEMENT, MAINTENANCE, AND QUALITY ASSURANCE","Issues and principles for software management; managerial and support aspects of software projects, including: processes, estimation techniques, planning and scheduling, risk analysis, metrics, and quality assurance. Other topics include: configuration management, verification and validation, and maintenance; team project.",32,7,1,0,0,0,0,0,0,0,0,40
2021 - 2022,2022 Spring,GRAD,GRAD,Bahra,Khalili Najafabadi,"Adly Noore, Rodrigo Augusto Silva Dos Santos",CSE,5325,201,"SOFTWARE ENGINEERING: MANAGEMENT, MAINTENANCE, AND QUALITY ASSURANCE","Issues and principles for software management; managerial and support aspects of software projects, including: processes, estimation techniques, planning and scheduling, risk analysis, metrics, and quality assurance. Other topics include: configuration management, verification and validation, and maintenance; team project.",5,33,7,0,6,0,0,0,0,0,0,51
2021 - 2022,2022 Spring,GRAD,GRAD,Bahra,Khalili Najafabadi,Stelly Tomy,CSE,6324,1,ADVANCED TOPICS IN SOFTWARE ENGINEERING,May be repeated for credit when topics change.,37,5,0,0,0,0,0,0,0,0,0,42
2021 - 2022,2022 Spring,GRAD,GRAD,Bahra,Khalili Najafabadi,Stelly Tomy,CSE,6324,201,ADVANCED TOPICS IN SOFTWARE ENGINEERING,May be repeated for credit when topics change.,7,41,0,0,3,0,0,0,0,0,0,51
2021 - 2022,2022 Spring,GRAD,GRAD,Bhanu,Jain,Akhila Masadi,CSE,5330,6,DATABASE SYSTEMS,"Database system architecture;  management and analysis of files, indexing, hashing, and B+-trees; the relational model and algebra; the SQL database language; database programming techniques, database design using Entry-Relationship, extended E-R, and UML modeling; basics of normalization. Introduction to database security, query processing and transaction management.",39,10,0,0,0,0,0,0,0,0,0,49
2021 - 2022,2022 Spring,GRAD,GRAD,Bhanu,Jain,Donna Safaddin,CSE,5330,5,DATABASE SYSTEMS,"Database system architecture;  management and analysis of files, indexing, hashing, and B+-trees; the relational model and algebra; the SQL database language; database programming techniques, database design using Entry-Relationship, extended E-R, and UML modeling; basics of normalization. Introduction to database security, query processing and transaction management.",20,9,0,0,1,0,0,0,0,0,0,30
2021 - 2022,2022 Spring,GRAD,GRAD,Bhanu,Jain,Haiqi Zhang,CSE,5311,2,DESIGN AND ANALYSIS OF ALGORITHMS,"Techniques for analyzing upper bounds for algorithms and lower bounds for problems. Problem areas include: sorting, data structures, graphs, dynamic programming, combinatorial algorithms, introduction to parallel models.",23,26,1,0,1,0,0,0,0,0,0,51
2021 - 2022,2022 Spring,GRAD,GRAD,Bhanu,Jain,Sanjivni Rana,CSE,5311,11,DESIGN AND ANALYSIS OF ALGORITHMS,"Techniques for analyzing upper bounds for algorithms and lower bounds for problems. Problem areas include: sorting, data structures, graphs, dynamic programming, combinatorial algorithms, introduction to parallel models.",26,27,2,0,0,0,0,0,0,0,0,55
2021 - 2022,2022 Spring,GRAD,GRAD,Bhanu,Jain,Shivani Shivanand,CSE,5311,9,DESIGN AND ANALYSIS OF ALGORITHMS,"Techniques for analyzing upper bounds for algorithms and lower bounds for problems. Problem areas include: sorting, data structures, graphs, dynamic programming, combinatorial algorithms, introduction to parallel models.",15,15,0,0,0,0,0,0,0,0,0,30
2021 - 2022,2022 Spring,GRAD,GRAD,Bhanu,Jain,Sujit Maharjan,CSE,5311,12,DESIGN AND ANALYSIS OF ALGORITHMS,"Techniques for analyzing upper bounds for algorithms and lower bounds for problems. Problem areas include: sorting, data structures, graphs, dynamic programming, combinatorial algorithms, introduction to parallel models.",30,19,1,1,0,0,0,0,0,0,0,51
2021 - 2022,2022 Spring,GRAD,GRAD,Bob,Weems,Chunyuan Li,CSE,5319,1,SPECIAL TOPICS IN THEORY & ALGORITHMS,May be repeated for credit when topics vary.,13,1,0,0,0,0,0,0,0,0,0,14
2021 - 2022,2022 Spring,GRAD,GRAD,Bob,Weems,Chunyuan Li,CSE,6319,1,SPECIAL TOPICS IN ADVANCED THEORY AND ALGORITHMS,May be repeated when topics vary.,7,0,0,1,0,0,0,0,0,0,0,8
2021 - 2022,2022 Spring,GRAD,GRAD,Bob,Weems,Snehitha Kodali,CSE,5311,1,DESIGN AND ANALYSIS OF ALGORITHMS,"Techniques for analyzing upper bounds for algorithms and lower bounds for problems. Problem areas include: sorting, data structures, graphs, dynamic programming, combinatorial algorithms, introduction to parallel models.",25,22,1,0,0,0,0,0,1,0,0,49
2021 - 2022,2022 Spring,GRAD,GRAD,Brian,Dalio,,CSE,5317,2,DESIGN AND CONSTRUCTION OF COMPILERS,"Review of programming language structures, translation, and storage allocation. Introduction to context-free grammars and their description. Design and construction of compilers including lexical analysis, parsing and code generation techniques. Error analysis and simple code optimizations will be introduced. Prerequisite:MATH 1426, or equivalent, or permission of advisor.",6,2,2,8,11,0,0,0,0,0,0,29
2021 - 2022,2022 Spring,GRAD,GRAD,Brian,Dalio,,CSE,5365,2,COMPUTER GRAPHICS,Input/output devices and programming techniques suitable for the visual representation of data and images.,2,5,2,2,4,0,0,0,0,0,0,15
2021 - 2022,2022 Spring,GRAD,GRAD,Chengkai,Li,Nasim Shirvani Mahdavi,DASC,5301,1,DATA SCIENCE,"This inspirational course follows a data-science-for-all perspective that views data acumen as part of literacy. It aims to instill in students the data acumen, i.e., the basic skills to wrestle with data, to draw insights from data, to make sound decisions responsibly using data, and to effectively communicate about data-driven findings and decisions. Topics include 1) data management: data curation, preparation, model, and querying; 2) data description and visualization: exploratory data analysis; graphics; 3) machine learning and knowledge discovery: supervised learning, unsupervised learning, pattern and knowledge extraction, model evaluation and interpretation.  Prerequisite: DASC Major,DASC 5300(or concurrent enrollment) andDASC 5302(or concurrent enrollment).",33,59,25,7,7,0,0,0,2,0,0,133
2021 - 2022,2022 Spring,GRAD,GRAD,Dajiang,Zhu,Xiaowei Yu,CSE,6363,5,MACHINE LEARNING,"A detailed investigation of current machine learning methods, including statistical, connectionist, and symbolic learning. Presents theoretical results for comparing methods and determining what is learnable. Current issues in machine learning research will also be examined. Prerequisite:CSE 5301or consent of instructor.",9,10,0,0,0,0,0,0,0,0,0,19
2021 - 2022,2022 Spring,GRAD,GRAD,David,Kung,"Aditya Ramesh Parab, Sankarshana Harish Rao",CSE,5322,1,SOFTWARE DESIGN PATTERNS,Study and application of object-oriented software design patterns to software development and maintenance in the object-oriented paradigm. Prerequisite:CSE 5324or concurrent enrollment.,25,20,0,0,0,0,0,0,0,0,0,45
2021 - 2022,2022 Spring,GRAD,GRAD,David,Kung,Wenliang Zhong,CSE,5321,1,SOFTWARE TESTING,"Study of software quality assurance, software testing process, methods, techniques and tools. Topics include formal review techniques, black box testing, white box testing, integration testing, acceptance testing, regression testing, performance testing, stress testing, and testing of object-oriented software.",19,18,3,1,0,0,0,0,2,0,0,43
2021 - 2022,2022 Spring,GRAD,GRAD,David,Levine,,CSE,5381,1,INFORMATION SECURITY 2,"Deeper study of the fundamentals of security, including symmetric key cryptography, public key cryptography, cryptographic protocols, malware design, network attacks and defenses, data security, privacy, and wireless security. Prerequisite:CSE 5380andCSE 4344or consent of instructor.",17,5,3,0,0,0,0,0,0,0,0,25
2021 - 2022,2022 Spring,GRAD,GRAD,David,Levine,Farnaz Farahanipad,CSE,5334,3,DATA MINING,"Preparing data for mining, using preprocessing, data warehouses and OLAP; data mining primitives, languages and system architecture; data mining techniques including association rule mining, classification/prediction and cluster analysis.",31,17,2,0,0,0,0,0,0,0,0,50
2021 - 2022,2022 Spring,GRAD,GRAD,David,Levine,Sai Theja Bikumalla,CSE,6331,1,ADVANCED TOPICS IN DATABASE SYSTEMS,May be repeated for credit when topics change.,25,9,3,1,1,0,0,0,1,0,0,40
2021 - 2022,2022 Spring,GRAD,GRAD,Deok Gun,Park,Md Ashaduzzaman Rubel Mondol,CSE,5334,5,DATA MINING,"Preparing data for mining, using preprocessing, data warehouses and OLAP; data mining primitives, languages and system architecture; data mining techniques including association rule mining, classification/prediction and cluster analysis.",24,11,11,2,0,0,0,0,0,0,0,48
2021 - 2022,2022 Spring,GRAD,GRAD,Elizabeth,Diaz,"Aaneesh Naagaraj Melkot, Sai Vyshnavi Telikepalli",CSE,5335,2,WEB DATA MANAGEMENT,"This course provides an in depth study of models, languages and techniques for large-scale Web data management in distributed and heterogeneous environments. Topics include: Web programming with an emphasis on Web data management, Web Services, semi-structured data, XML standards, modern Web search engines,  web information systems, Web query languages, distributed computing, metadata management with RDF, and Semantic Web.",71,4,0,0,0,0,0,0,0,0,0,75
2021 - 2022,2022 Spring,GRAD,GRAD,Elizabeth,Diaz,Chinmaya Tripathi,CSE,5320,1,SPECIAL TOPICS IN SOFTWARE ENGINEERING,May be repeated for credit when topics vary.,30,10,0,0,0,0,0,0,0,0,0,40
2021 - 2022,2022 Spring,GRAD,GRAD,Elizabeth,Diaz,Hindavi Dinesh Churi,CSE,5334,4,DATA MINING,"Preparing data for mining, using preprocessing, data warehouses and OLAP; data mining primitives, languages and system architecture; data mining techniques including association rule mining, classification/prediction and cluster analysis.",37,13,0,0,0,0,0,0,0,0,0,50
2021 - 2022,2022 Spring,GRAD,GRAD,Elizabeth,Diaz,Pralobh Lokhande,CSE,5334,1,DATA MINING,"Preparing data for mining, using preprocessing, data warehouses and OLAP; data mining primitives, languages and system architecture; data mining techniques including association rule mining, classification/prediction and cluster analysis.",28,10,2,0,0,0,0,0,0,0,0,40
2021 - 2022,2022 Spring,GRAD,GRAD,Elizabeth,Diaz,Pralobh Lokhande,CSE,5334,102,DATA MINING,"Preparing data for mining, using preprocessing, data warehouses and OLAP; data mining primitives, languages and system architecture; data mining techniques including association rule mining, classification/prediction and cluster analysis.",6,2,1,0,0,0,0,0,0,0,0,9
2021 - 2022,2022 Spring,GRAD,GRAD,Elizabeth,Diaz,Tirth Nareshbhai Patel,CSE,5334,2,DATA MINING,"Preparing data for mining, using preprocessing, data warehouses and OLAP; data mining primitives, languages and system architecture; data mining techniques including association rule mining, classification/prediction and cluster analysis.",43,6,1,0,0,0,0,0,0,0,0,50
2021 - 2022,2022 Spring,GRAD,GRAD,Elizabeth,Diaz,Yoganandha Reddy Gali,CSE,5335,201,WEB DATA MANAGEMENT,"This course provides an in depth study of models, languages and techniques for large-scale Web data management in distributed and heterogeneous environments. Topics include: Web programming with an emphasis on Web data management, Web Services, semi-structured data, XML standards, modern Web search engines,  web information systems, Web query languages, distributed computing, metadata management with RDF, and Semantic Web.",24,20,3,1,3,0,0,0,0,0,0,51
2021 - 2022,2022 Spring,GRAD,GRAD,Fillia,Makedon,"Ashish Jaiswal, Mohammad Zakizadehghariehali",CSE,5369,1,SPECIAL TOPICS IN INTELLIGENT SYSTEMS,May be repeated for credit when topics vary.,9,0,0,0,0,0,0,0,0,0,0,9
2021 - 2022,2022 Spring,GRAD,GRAD,Fillia,Makedon,"Ashish Jaiswal, Mohammad Zakizadehghariehali",CSE,6369,1,SPECIAL TOPICS ADVANCED INTELLIGENT SYSTEMS,May be repeated for credit when topics vary.,14,0,0,0,0,0,0,0,0,0,0,14
2021 - 2022,2022 Spring,GRAD,GRAD,Giridhar,Amaravadi,Priyanka Wakte,CSE,5325,1,"SOFTWARE ENGINEERING: MANAGEMENT, MAINTENANCE, AND QUALITY ASSURANCE","Issues and principles for software management; managerial and support aspects of software projects, including: processes, estimation techniques, planning and scheduling, risk analysis, metrics, and quality assurance. Other topics include: configuration management, verification and validation, and maintenance; team project.",38,12,0,0,0,0,0,0,0,0,0,50
2021 - 2022,2022 Spring,GRAD,GRAD,Giridhar,Amaravadi,"Priyanka Wakte, Sindoora Ravikumar Murthy",CSE,5325,3,"SOFTWARE ENGINEERING: MANAGEMENT, MAINTENANCE, AND QUALITY ASSURANCE","Issues and principles for software management; managerial and support aspects of software projects, including: processes, estimation techniques, planning and scheduling, risk analysis, metrics, and quality assurance. Other topics include: configuration management, verification and validation, and maintenance; team project.",48,2,0,0,0,0,0,0,0,0,0,50
2021 - 2022,2022 Spring,GRAD,GRAD,Habeeb,Olufowobi,Haotian Zhang,CSE,5388,1,SPECIAL TOPICS IN INFORMATION SECURITY,May be repeated for credit when topics vary.,0,6,7,4,3,0,0,0,0,0,0,20
2021 - 2022,2022 Spring,GRAD,GRAD,Habeeb,Olufowobi,Haotian Zhang,CSE,6388,1,SPECIAL TOPICS IN ADVANCED INFORMATION SECURITY,May be repeated for credit when topics vary.,12,5,1,2,0,0,0,0,0,0,0,20
2021 - 2022,2022 Spring,GRAD,GRAD,Hao,Che,Xing Sheng Zhao,CSE,5349,1,SPECIAL TOPICS IN NETWORKING,May be repeated for credit when topics vary.,9,1,0,0,0,0,0,0,0,0,0,10
2021 - 2022,2022 Spring,GRAD,GRAD,Hao,Che,Xing Sheng Zhao,CSE,6349,1,SPECIAL TOPICS IN ADVANCED NETWORKING,May be repeated for credit when topics vary.,14,1,0,0,0,0,0,0,0,0,0,15
2021 - 2022,2022 Spring,GRAD,GRAD,Ishfaq,Ahmad,Addison Clark,CSE,5351,1,PARALLEL PROCESSING,"Covers the theory and practice of parallel processing. Theoretical topics include: abstract models and algorithms for shared memory computation (PRAM); algorithms for various topologies such as meshes and hypercubes; efficiency and speedup analysis. Problem areas include data structures, numerical methods, graphs, combinatorics. Practical topics include synchronization, routing, scheduling, parallelizing serial computations, programming languages. Includes programming exercises using one or more concurrent programming languages, on one or more parallel computers. Prerequisite:CSE 3320or consent of instructor.",11,4,8,1,1,0,0,0,1,0,0,26
2021 - 2022,2022 Spring,GRAD,GRAD,Jacob,Luber,Avishek Das,CSE,5370,1,BIOINFORMATICS,"Basic biology of genome and common laboratory techniques Overview of discrete probability theory, random variables and processes. Issues in genome mapping, sequencing and analysis: sequence alignments and alignment algorithms; genomic databases and information access; structure and features of DNA sequences. Techniques in contemporary biotechnology, including proteomics and gene expression analysis using microarray chips. Prerequisite:CSE 5311or consent of instructor.",20,8,1,1,1,0,0,0,0,0,0,31
2021 - 2022,2022 Spring,GRAD,GRAD,Jason,Losh,"Happy Ndikumana, Nathan Fusselman",CSE,5400,1,FUNDAMENTALS OF EMBEDDED SYSTEMS,"Review of fundamental topics in embedded system design and programming to prepare students for Computer Engineering courses. Topics include programming in resource-constrained environments, design of embedded controller systems, asynchronous and synchronous serial interfaces, timer-based peripherals, pulse-width modulation, analog to digital (A/D) converters, and typical applications. Course includes significant laboratory content.",0,0,0,0,6,0,5,0,0,0,0,11
2021 - 2022,2022 Spring,GRAD,GRAD,Jesus,Gonzalez,Mahi Kalkeshkumar Panchal,CSE,6363,2,MACHINE LEARNING,"A detailed investigation of current machine learning methods, including statistical, connectionist, and symbolic learning. Presents theoretical results for comparing methods and determining what is learnable. Current issues in machine learning research will also be examined. Prerequisite:CSE 5301or consent of instructor.",20,26,0,0,0,0,0,0,0,0,0,46
2021 - 2022,2022 Spring,GRAD,GRAD,Jesus,Gonzalez,Mehul Vishal Sadh,CSE,6363,4,MACHINE LEARNING,"A detailed investigation of current machine learning methods, including statistical, connectionist, and symbolic learning. Presents theoretical results for comparing methods and determining what is learnable. Current issues in machine learning research will also be examined. Prerequisite:CSE 5301or consent of instructor.",22,23,0,0,0,0,0,0,0,0,0,45
2021 - 2022,2022 Spring,GRAD,GRAD,Jiang,Ming,Mengfei Ren,CSE,5380,1,INFORMATION SECURITY 1,"Hands-on introduction to the basics of security. Includes system security, buffer overflows, a high-level overview of cryptography, firewalls and IDS/IPS, malware, penetration testing, forensics, and system administration. Prerequisite:CSE 3320or consent of instructor.",10,11,0,0,0,0,0,0,0,0,0,21
2021 - 2022,2022 Spring,GRAD,GRAD,Junzhou,Huang,Chunyuan Li,CSE,6392,1,SPECIAL TOPICS IN ADVANCED COMPUTER SCIENCE,May be repeated for credit when the topics vary.,15,0,0,0,0,0,0,0,0,0,0,15
2021 - 2022,2022 Spring,GRAD,GRAD,Kelly,French,Gagan Ujjini Mallikarjuna,CSE,5307,1,PROGRAMMING LANGUAGE CONCEPTS,"Study and evaluation of concepts in programming language for modern computer systems. Programming projects are selected from string-based, symbolic, algorithmic, and object-oriented languages.",19,5,0,0,0,0,0,0,0,0,0,24
2021 - 2022,2022 Spring,GRAD,GRAD,Larz,White,Md Rajib Hossen,CSE,5311,6,DESIGN AND ANALYSIS OF ALGORITHMS,"Techniques for analyzing upper bounds for algorithms and lower bounds for problems. Problem areas include: sorting, data structures, graphs, dynamic programming, combinatorial algorithms, introduction to parallel models.",68,1,0,0,0,0,0,0,0,0,0,69
2021 - 2022,2022 Spring,GRAD,GRAD,Leonidas,Fegaras,Tanvir Khan,CSE,6331,5,ADVANCED TOPICS IN DATABASE SYSTEMS,May be repeated for credit when topics change.,23,22,0,0,0,0,0,0,0,0,0,45
2021 - 2022,2022 Spring,GRAD,GRAD,Manfred,Huber,Subharag Sarkar,CSE,6363,1,MACHINE LEARNING,"A detailed investigation of current machine learning methods, including statistical, connectionist, and symbolic learning. Presents theoretical results for comparing methods and determining what is learnable. Current issues in machine learning research will also be examined. Prerequisite:CSE 5301or consent of instructor.",27,10,7,0,1,0,0,0,0,0,0,45
2021 - 2022,2022 Spring,GRAD,GRAD,Md Hasanuzzaman,Noor,Aref Shiran,CSE,5311,8,DESIGN AND ANALYSIS OF ALGORITHMS,"Techniques for analyzing upper bounds for algorithms and lower bounds for problems. Problem areas include: sorting, data structures, graphs, dynamic programming, combinatorial algorithms, introduction to parallel models.",49,0,3,0,0,0,0,0,0,0,0,52
2021 - 2022,2022 Spring,GRAD,GRAD,Md Hasanuzzaman,Noor,Jacob Devasier,CSE,5306,4,DISTRIBUTED SYSTEMS,"Issues and challenges in distributed systems, including: communication, distributed processes, naming and name services, synchronization, consistency and replication, transactions, fault tolerance and recovery, security, distributed objects, and distributed file systems.",35,8,2,0,0,0,0,0,0,0,0,45
2021 - 2022,2022 Spring,GRAD,GRAD,Md Hasanuzzaman,Noor,Mohammad Samiul Arshad,CSE,5306,1,DISTRIBUTED SYSTEMS,"Issues and challenges in distributed systems, including: communication, distributed processes, naming and name services, synchronization, consistency and replication, transactions, fault tolerance and recovery, security, distributed objects, and distributed file systems.",40,3,1,0,0,0,0,0,0,0,0,44
2021 - 2022,2022 Spring,GRAD,GRAD,Md Hasanuzzaman,Noor,Saahil Anande,CSE,5311,7,DESIGN AND ANALYSIS OF ALGORITHMS,"Techniques for analyzing upper bounds for algorithms and lower bounds for problems. Problem areas include: sorting, data structures, graphs, dynamic programming, combinatorial algorithms, introduction to parallel models.",49,0,6,0,0,0,0,0,0,0,0,55
2021 - 2022,2022 Spring,GRAD,GRAD,Md Salik,Parwez,Foram Pankajbhai Patel,CSE,5315,1,NUMERICAL METHODS,"Selected topics from the theory and practice of using automatic digital computers for approximating arithmetic operations, approximating functions, solving systems of linear and non-linear equations, and solving ordinary and partial differential equations.",17,3,0,0,0,0,0,0,0,0,0,20
2021 - 2022,2022 Spring,GRAD,GRAD,Md Salik,Parwez,Kiruthika Manohar Pandian,CSE,5344,2,COMPUTER NETWORKS,"Study of computer network  architectures, protocols, and interfaces. The OSI reference model and the Internet architecture will be discussed. Networking techniques such as multiple access, packet/cell switching, and internetworking will be studied. Discussion will also include end-to-end protocols, congestion control, high-speed networking, and network management. Emphasis will be on Internet and ATM. Prerequisite:CSE 3320or consent of instructor.",30,17,3,0,0,0,0,0,0,0,0,50
2021 - 2022,2022 Spring,GRAD,GRAD,Md Salik,Parwez,Saba Ruhee Jagirdar,CSE,5349,2,SPECIAL TOPICS IN NETWORKING,May be repeated for credit when topics vary.,9,9,3,0,0,0,0,0,0,0,0,21
2021 - 2022,2022 Spring,GRAD,GRAD,Mike,Siok,Christos Sevastopoulos,CSE,5324,2,"SOFTWARE ENGINEERING: ANALYSIS, DESIGN, AND TESTING","Motivations, principles, and goals of software engineering; technical aspects of software projects, including: review of structured analysis and structured design, emphasis on object-oriented methods of requirements analysis and specification, design, and implementation; software testing concepts; team project.",25,25,0,0,0,0,0,0,0,0,0,50
2021 - 2022,2022 Spring,GRAD,GRAD,Nadra,Guizani,Gaurav Chajjed Mahaveer,CSE,5330,4,DATABASE SYSTEMS,"Database system architecture;  management and analysis of files, indexing, hashing, and B+-trees; the relational model and algebra; the SQL database language; database programming techniques, database design using Entry-Relationship, extended E-R, and UML modeling; basics of normalization. Introduction to database security, query processing and transaction management.",44,5,1,0,0,0,0,0,0,0,0,50
2021 - 2022,2022 Spring,GRAD,GRAD,Negin,Fraidouni,Deepak Prakash Lokande,CSE,5301,8,DATA ANALYSIS & MODELING TECHNIQUES,"Concepts and techniques for performing experiments and analyzing their results. Topics cover fundamental statistics, probability and data-representation concepts, interference through hypothesis testing, information theory, queuing models, and selected topics such as capacity planning and bottleneck analysis, clustering and classification, and hidden Markov models with computer science applications as examples.",26,18,10,1,0,0,0,0,0,0,0,55
2021 - 2022,2022 Spring,GRAD,GRAD,Negin,Fraidouni,"Krishnajyothi Chadalavada, Venkata Nagendar Shantiswaroop Adibhatla",CSE,5311,4,DESIGN AND ANALYSIS OF ALGORITHMS,"Techniques for analyzing upper bounds for algorithms and lower bounds for problems. Problem areas include: sorting, data structures, graphs, dynamic programming, combinatorial algorithms, introduction to parallel models.",36,12,6,0,0,0,0,0,1,0,0,55
2021 - 2022,2022 Spring,GRAD,GRAD,Negin,Fraidouni,"Krishnajyothi Chadalavada, Venkata Nagendar Shantiswaroop Adibhatla",CSE,5311,5,DESIGN AND ANALYSIS OF ALGORITHMS,"Techniques for analyzing upper bounds for algorithms and lower bounds for problems. Problem areas include: sorting, data structures, graphs, dynamic programming, combinatorial algorithms, introduction to parallel models.",38,8,4,0,1,0,0,0,0,0,0,51
2021 - 2022,2022 Spring,GRAD,GRAD,Negin,Fraidouni,Quan Nguyen,CSE,5301,2,DATA ANALYSIS & MODELING TECHNIQUES,"Concepts and techniques for performing experiments and analyzing their results. Topics cover fundamental statistics, probability and data-representation concepts, interference through hypothesis testing, information theory, queuing models, and selected topics such as capacity planning and bottleneck analysis, clustering and classification, and hidden Markov models with computer science applications as examples.",33,18,4,0,1,0,0,0,0,0,0,56
2021 - 2022,2022 Spring,GRAD,GRAD,Negin,Fraidouni,Tanzima Sultana,CSE,5301,4,DATA ANALYSIS & MODELING TECHNIQUES,"Concepts and techniques for performing experiments and analyzing their results. Topics cover fundamental statistics, probability and data-representation concepts, interference through hypothesis testing, information theory, queuing models, and selected topics such as capacity planning and bottleneck analysis, clustering and classification, and hidden Markov models with computer science applications as examples.",32,21,2,0,0,0,0,0,0,0,0,55
2021 - 2022,2022 Spring,GRAD,GRAD,Negin,Fraidouni,Xiao Shi,CSE,5301,5,DATA ANALYSIS & MODELING TECHNIQUES,"Concepts and techniques for performing experiments and analyzing their results. Topics cover fundamental statistics, probability and data-representation concepts, interference through hypothesis testing, information theory, queuing models, and selected topics such as capacity planning and bottleneck analysis, clustering and classification, and hidden Markov models with computer science applications as examples.",15,29,8,3,0,0,0,0,0,0,0,55
2021 - 2022,2022 Spring,GRAD,GRAD,Nomaan,Mufti,Chandra Shekhar Kasturi,CSE,5311,10,DESIGN AND ANALYSIS OF ALGORITHMS,"Techniques for analyzing upper bounds for algorithms and lower bounds for problems. Problem areas include: sorting, data structures, graphs, dynamic programming, combinatorial algorithms, introduction to parallel models.",45,5,1,0,0,0,0,0,0,0,0,51
2021 - 2022,2022 Spring,GRAD,GRAD,Nomaan,Mufti,Jason Jennings,CSE,5368,1,NEURAL NETWORKS,"Theoretical principles of neurocomputing. Learning algorithms, information capacity, and mapping properties of feedforward and recurrent networks. Different neural network models will be implemented and their practical applications discussed. Prerequisite:CSE 5301or consent of instructor.",5,28,12,4,0,0,0,0,1,0,0,50
2021 - 2022,2022 Spring,GRAD,GRAD,Ramakrishna,Koganti,Mohammad Abu Nasir Rakib,CSE,5301,7,DATA ANALYSIS & MODELING TECHNIQUES,"Concepts and techniques for performing experiments and analyzing their results. Topics cover fundamental statistics, probability and data-representation concepts, interference through hypothesis testing, information theory, queuing models, and selected topics such as capacity planning and bottleneck analysis, clustering and classification, and hidden Markov models with computer science applications as examples.",34,19,4,0,3,0,0,0,0,0,0,60
2021 - 2022,2022 Spring,GRAD,GRAD,Ramakrishna,Koganti,Qiyuan An,CSE,5301,3,DATA ANALYSIS & MODELING TECHNIQUES,"Concepts and techniques for performing experiments and analyzing their results. Topics cover fundamental statistics, probability and data-representation concepts, interference through hypothesis testing, information theory, queuing models, and selected topics such as capacity planning and bottleneck analysis, clustering and classification, and hidden Markov models with computer science applications as examples.",48,3,1,0,1,0,0,0,1,0,0,54
2021 - 2022,2022 Spring,GRAD,GRAD,Ramakrishna,Koganti,Tanusree Debi,CSE,5301,9,DATA ANALYSIS & MODELING TECHNIQUES,"Concepts and techniques for performing experiments and analyzing their results. Topics cover fundamental statistics, probability and data-representation concepts, interference through hypothesis testing, information theory, queuing models, and selected topics such as capacity planning and bottleneck analysis, clustering and classification, and hidden Markov models with computer science applications as examples.",24,22,3,0,1,0,0,0,0,0,0,50
