Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,Course Name,Description,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2020 - 2021,2021 Spring,UGRD,UGRD,Shawn,Gieser,,CSE,4316,1,COMPUTER SYSTEM DESIGN PROJECT I,"Analysis and design of an industry-type project that involves hardware and software components to meet desired needs within realistic constraints and standards. The project is to be completed inCSE 4317the following semester. Multidisciplinary teams ofCSE 4316students are required to develop, review, and present problem definition, project planning, requirements formulation, and design specification. Prerequisites: Admitted into a CSE Professional Program. For academic plan CS__CS or SE__SE, C or better inCSE 3310andCSE 3320, and C or better inCSE 3314(or concurrently). For academic plan CSE_CP, C or better inCSE 3320andCSE 3442, and C or better inCSE 3314(or concurrently).",27,2,0,0,0,0,0,0,0,0,0,29
2020 - 2021,2021 Spring,UGRD,UGRD,Shawn,Gieser,,CSE,4317,5,COMPUTER SYSTEM DESIGN PROJECT II,"Implementation, integration, quality assurance through peer review and testing, and deployment of the project designed inCSE 4316; oral presentation, documentation and project demonstration. Prerequisite: Admitted into an Engineering Professional Program. C or better inCSE 4316and continuation with the same team.",19,7,1,0,0,0,0,0,0,0,0,27
2020 - 2021,2021 Spring,UGRD,UGRD,Shawn,Gieser,,CSE,4317,11,COMPUTER SYSTEM DESIGN PROJECT II,"Implementation, integration, quality assurance through peer review and testing, and deployment of the project designed inCSE 4316; oral presentation, documentation and project demonstration. Prerequisite: Admitted into an Engineering Professional Program. C or better inCSE 4316and continuation with the same team.",9,6,3,0,0,0,0,0,0,0,0,18
2020 - 2021,2021 Spring,UGRD,UGRD,Shawn,Gieser,Fotios Lygerakis,CSE,1325,1,OBJECT-ORIENTED PROGRAMMING,"Object-oriented concepts, class diagrams, collection classes, generics, polymorphism, and reusability.  Projects involve extensive programming and include graphical user interfaces and multithreading. Prerequisite:CSE 1320.",8,6,5,1,2,0,0,2,1,0,0,25
2020 - 2021,2021 Spring,UGRD,UGRD,Shirin,Hosseini Shirvani,Aishwarya Pothula,CSE,2315,6,DISCRETE STRUCTURES,"Propositional and predicate logic, mathematical proof techniques, sets, combinatorics, functions and relations, graphs, and graph algorithms. Prerequisite: C or better inCSE 1310and C or better inMATH 1426(or C or better in or concurrent enrollment inMATH 2425).",4,4,1,2,0,0,0,0,4,0,0,15
2020 - 2021,2021 Spring,UGRD,UGRD,Shirin,Hosseini Shirvani,Aishwarya Pothula,CSE,2315,900,DISCRETE STRUCTURES,"Propositional and predicate logic, mathematical proof techniques, sets, combinatorics, functions and relations, graphs, and graph algorithms. Prerequisite: C or better inCSE 1310and C or better inMATH 1426(or C or better in or concurrent enrollment inMATH 2425).",6,0,0,0,0,0,0,0,0,0,0,6
2020 - 2021,2021 Spring,UGRD,UGRD,Shirin,Nilizadeh,Sayak Saha Roy,CSE,4380,4,INFORMATION SECURITY,"Hands-on introduction to the basics of security. Includes system security, buffer overflows, a high-level overview of cryptography, firewalls and intrusion detection/prevention, malware, penetration testing, forensics, and system administration. Prerequisite: Admitted into an Engineering Professional Program. C or better inCSE 3320.",4,8,2,0,0,0,0,1,0,0,0,15
2020 - 2021,2021 Spring,UGRD,UGRD,Thomas,Jones,Seyyed Mohammad Sadegh Moosavi Khorzooghi,CSE,4382,1,SECURE PROGRAMMING,"This course is an introduction to methods of secure software design and development.  Students will learn about the major security problems found in software today. Using this knowledge, they will work in teams to find these bugs in software, fix the bugs, and design software so that it has fewer security problems. Static analysis tools will be a core part of the class, but students will also be exposed to black box testing tools. Topics will include input validation, buffer overflow prevention, error handling, web application issues, and XML. Prerequisite: Admitted into an Engineering Professional Program. C or better inCSE 3320.",9,6,3,0,1,0,0,0,1,0,0,20
2020 - 2021,2021 Spring,UGRD,UGRD,Trevor,Bakker,Mohammad Zakizadehghariehali,CSE,3320,3,OPERATING SYSTEMS,"Functions and components of an operating system, including process synchronization, job scheduling, memory management, file systems protection, and deadlocks. Related system software, such as loaders, linkers, assemblers, and windowing systems. Prerequisite: C or better inCSE 2312.",38,17,7,2,4,0,0,0,2,0,0,70
2020 - 2021,2021 Spring,UGRD,UGRD,Trevor,Bakker,Surathapyari Bhupathiraju,CSE,3320,1,OPERATING SYSTEMS,"Functions and components of an operating system, including process synchronization, job scheduling, memory management, file systems protection, and deadlocks. Related system software, such as loaders, linkers, assemblers, and windowing systems. Prerequisite: C or better inCSE 2312.",22,19,14,5,4,0,0,2,2,0,0,68
2020 - 2021,2021 Spring,UGRD,UGRD,Upendranatha,Chakravarthy,Enamul Karim,CSE,4334,1,DATA MINING,"Automatic discovery of patterns and knowledge from large data repositories, including databases, data warehouses, Web, document collections, and transactions. Basic topics of data mining including data preprocessing, data warehousing and online analytical processing (OLAP), data cube, frequent pattern and association rule mining, correlation analysis, classification and prediction and clustering, as well as advanced topics covering the techniques and applications of data mining on Web and text documents. Prerequisite: Admitted into an Engineering Professional Program. C or better in each of the following:IE 3301(orMATH 3313). Co-requisite:CSE 3330.",1,1,1,3,0,0,0,0,0,0,0,6
2020 - 2021,2021 Spring,UGRD,UGRD,Vamsikrishna,Gopikrishna,Anahita Samadi,CSE,4308,2,ARTIFICIAL INTELLIGENCE,"An introduction to the field of artificial intelligence studying basic techniques such as heuristic search, deduction, learning, problem solving, knowledge representation, uncertainty reasoning and symbolic programming languages such as LISP. Application areas may include intelligent agents, data mining, natural language, machine vision, planning and expert systems. Prerequisite: Admitted into an Engineering Professional Program. C or better in each of the following:CSE 3318and (IE 3301orMATH 3313).",20,14,2,0,0,0,0,1,0,0,0,37
2020 - 2021,2021 Spring,UGRD,UGRD,Vamsikrishna,Gopikrishna,Chen Zhong,CSE,4308,3,ARTIFICIAL INTELLIGENCE,"An introduction to the field of artificial intelligence studying basic techniques such as heuristic search, deduction, learning, problem solving, knowledge representation, uncertainty reasoning and symbolic programming languages such as LISP. Application areas may include intelligent agents, data mining, natural language, machine vision, planning and expert systems. Prerequisite: Admitted into an Engineering Professional Program. C or better in each of the following:CSE 3318and (IE 3301orMATH 3313).",14,9,2,0,0,0,0,0,2,0,0,27
2020 - 2021,2021 Spring,UGRD,UGRD,Vamsikrishna,Gopikrishna,Chunyuan Li,CSE,4308,1,ARTIFICIAL INTELLIGENCE,"An introduction to the field of artificial intelligence studying basic techniques such as heuristic search, deduction, learning, problem solving, knowledge representation, uncertainty reasoning and symbolic programming languages such as LISP. Application areas may include intelligent agents, data mining, natural language, machine vision, planning and expert systems. Prerequisite: Admitted into an Engineering Professional Program. C or better in each of the following:CSE 3318and (IE 3301orMATH 3313).",12,31,6,1,0,0,0,0,1,0,0,51
